rank	source_id	year	doi	title	venue	type
60	citation-60	2022		Debugging, Rosette Guide	Rosette Guide	other
61	https://doi.org/10.1145/2509578.2509586	2013	https://doi.org/10.1145/2509578.2509586	Growing Solver-Aided Languages with Rosette	Onward!	conference-paper
62	https://doi.org/10.1145/2594291.2594340	2014	https://doi.org/10.1145/2594291.2594340	A Lightweight Symbolic Virtual Machine for Solver-Aided Host Languages	PLDI	conference-paper
63	https://doi.org/10.1007/978-3-642-39799-8_45	2013	https://doi.org/10.1007/978-3-642-39799-8_45	Smten: Automatic Translation of High-Level Symbolic Computations into SMT Queries	CAV	conference-paper
64	https://doi.org/10.1145/2660193.2660208	2014	https://doi.org/10.1145/2660193.2660208	Smten with Satisfiability-Based Search	Haskell Symposium	conference-paper
65	https://doi.org/10.1145/3428232	2020	https://doi.org/10.1145/3428232	Compiling Symbolic Execution with Staging and Algebraic Effects	Proceedings of the ACM on Programming Languages	article
66	https://doi.org/10.1145/3297858.3304027	2019	https://doi.org/10.1145/3297858.3304027	Puddle: A Dynamic, Error-Correcting, Full-Stack Microfluidics Platform	ASPLOS	conference-paper
67	https://doi.org/10.1006/inco.1994.1093	1994	https://doi.org/10.1006/inco.1994.1093	A Syntactic Approach to Type Soundness	Information and Computation	article
68	https://doi.org/10.1007/978-3-319-19797-5_15	2015	https://doi.org/10.1007/978-3-319-19797-5_15	Fusion for Free	Mathematics of Program Construction	conference-paper
69	citation-69	2022		fused-effects	Hackage	software
70	https://doi.org/10.1145/1040305.1040334	2005	https://doi.org/10.1145/1040305.1040334	Scalable Error Detection Using Boolean Satisfiability	POPL	conference-paper
